Date of collision,Grid,Number of Incidents,Implied vehicules,Serious injury,Light injury,Total victims,Trucks and car,Heavy tractor,Tool equipment,Bus,Bicycle,Moped,Motorcycle,Emergency vehicule,Snowmobile,VHR,Other types,Non-Precise vehicule,Pedestrian death,Pedestrian injury,Pedestrian victims,Motorcycle death,Motorcycle injuries,Motorcycle victims,Bicycle death,Bicycle injury,Bicycle victims,Severity: Inferior damages,Severity: Material damages,Severity: Serious injury,Severity: Light injury,Severity: Death
2012-01-11,GRID_45.458333155|-73.875002685,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0
2012-01-11,GRID_45.541666485|-73.541669365,15,31,0,1,1,18,2,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,11,3,0,1,0
2012-01-11,GRID_45.541666485|-73.625002695,21,40,0,1,1,27,3,0,0,0,0,0,0,0,0,1,8,0,1,1,0,0,0,0,0,0,15,5,0,1,0
2012-01-11,GRID_45.541666485|-73.70833602500002,2,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2012-01-11,GRID_45.624999815|-73.541669365,5,10,0,1,2,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1
2012-01-11,GRID_45.624999815|-73.625002695,6,12,0,3,3,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,3,0
2012-01-12,GRID_45.458333155|-73.625002695,28,55,0,4,4,36,2,1,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,14,0,3,0
2012-01-12,GRID_45.458333155|-73.70833602500002,4,7,0,1,1,5,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,1,0
2012-01-12,GRID_45.458333155|-73.791669355,4,10,0,1,1,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,1,0
2012-01-12,GRID_45.458333155|-73.875002685,4,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
2012-01-12,GRID_45.458333155|-73.958336015,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-12,GRID_45.541666485|-73.541669365,26,46,0,3,3,31,2,1,0,2,0,0,1,0,0,0,7,0,2,2,0,0,0,0,1,1,17,6,0,3,0
